;Hora 1;Hora 2;Hora 3;Hora 4;Hora 5;Hora 6;Hora 7;Hora 8;Hora 9;Hora 10;Hora 11;Hora 12;Hora 13;Hora 14;Hora 15;Hora 16;Hora 17;Hora 18;Hora 19;Hora 20;Hora 21;Hora 22;Hora 23;Hora 24
Cliente 61; 1,15 ; 0,76 ; 0,61 ; 0,62 ; 0,64 ; 0,75 ; 0,83 ; 0,73 ; 0,50 ; 0,50 ; 0,73 ; 1,04 ; 1,03 ; 0,93 ; 0,95 ; 0,93 ; 0,79 ; 1,38 ; 2,11 ; 2,05 ; 1,59 ; 1,47 ; 1,22 ; 0,68 
Cliente 62; 0,37 ; 0,26 ; 0,18 ; 0,12 ; 0,21 ; 0,29 ; 0,67 ; 1,14 ; 1,29 ; 1,09 ; 1,18 ; 1,38 ; 1,28 ; 0,97 ; 0,71 ; 0,59 ; 0,65 ; 1,31 ; 2,05 ; 2,34 ; 2,03 ; 1,53 ; 1,20 ; 1,16 
Cliente 63; 0,37 ; 0,18 ; 0,14 ; 0,16 ; 0,15 ; 0,20 ; 0,27 ; 0,42 ; 0,69 ; 0,93 ; 1,02 ; 1,11 ; 1,09 ; 1,05 ; 1,15 ; 1,04 ; 0,73 ; 1,22 ; 2,36 ; 2,97 ; 2,49 ; 1,80 ; 1,35 ; 1,12 
Cliente 64; 0,66 ; 0,61 ; 0,59 ; 0,61 ; 0,61 ; 0,64 ; 0,73 ; 0,68 ; 0,56 ; 0,56 ; 0,65 ; 0,76 ; 0,85 ; 0,88 ; 0,75 ; 0,61 ; 0,68 ; 1,44 ; 2,07 ; 2,53 ; 2,65 ; 2,29 ; 1,40 ; 0,18 
Cliente 65; 0,12 ; 0,14 ; 0,14 ; 0,14 ; 0,13 ; 0,14 ; 0,37 ; 0,67 ; 0,75 ; 0,67 ; 0,61 ; 0,60 ; 0,57 ; 0,44 ; 0,24 ; 0,32 ; 0,92 ; 1,92 ; 2,79 ; 3,29 ; 3,56 ; 3,12 ; 2,01 ; 0,34 
Cliente 66; 0,26 ; 0,22 ; 0,25 ; 0,27 ; 0,17 ; 0,13 ; 0,26 ; 0,52 ; 0,58 ; 0,51 ; 0,59 ; 0,78 ; 0,78 ; 0,55 ; 0,41 ; 0,32 ; 0,61 ; 1,63 ; 2,75 ; 3,56 ; 4,11 ; 3,29 ; 1,68 ; -   
Cliente 67; 0,11 ; 0,12 ; 0,11 ; 0,09 ; 0,07 ; 0,09 ; 0,28 ; 0,54 ; 0,60 ; 0,47 ; 0,38 ; 0,28 ; 0,27 ; 0,33 ; 0,32 ; 0,36 ; 1,35 ; 3,04 ; 3,40 ; 2,51 ; 2,30 ; 2,78 ; 2,58 ; 1,63 
Cliente 68; 0,54 ; 0,14 ; 0,00 ; 0,04 ; 0,03 ; 0,07 ; 0,48 ; 0,99 ; 0,98 ; 0,68 ; 0,48 ; 0,48 ; 0,60 ; 0,64 ; 0,68 ; 1,23 ; 1,81 ; 2,06 ; 2,18 ; 2,21 ; 2,02 ; 2,10 ; 2,02 ; 1,53 
Cliente 69; 0,12 ; 0,05 ; 0,02 ; 0,02 ; -   ; 0,03 ; 0,24 ; 0,43 ; 0,51 ; 0,56 ; 0,44 ; 0,36 ; 0,55 ; 1,10 ; 1,22 ; 0,69 ; 0,43 ; 1,28 ; 2,56 ; 3,49 ; 3,78 ; 3,48 ; 2,31 ; 0,32 
Cliente 70; 0,01 ; 0,08 ; 0,09 ; 0,04 ; -   ; 0,05 ; 0,32 ; 0,50 ; 0,43 ; 0,36 ; 0,42 ; 0,38 ; 0,31 ; 0,38 ; 0,67 ; 0,68 ; 1,05 ; 2,64 ; 3,85 ; 3,48 ; 3,30 ; 3,11 ; 1,92 ; -   
Cliente 71; 0,08 ; 0,02 ; -   ; -   ; -   ; -   ; 0,11 ; 0,16 ; 0,19 ; 0,30 ; 0,34 ; 0,12 ; 0,02 ; 0,23 ; 0,40 ; 0,62 ; 0,63 ; 1,26 ; 2,87 ; 5,32 ; 5,80 ; 3,87 ; 1,74 ; -   
Cliente 72; 0,74 ; 0,43 ; 0,08 ; -   ; 0,00 ; 0,01 ; -   ; 0,52 ; 0,90 ; 0,63 ; 0,15 ; 0,12 ; 0,03 ; -   ; 0,24 ; 0,70 ; 0,91 ; 1,25 ; 2,38 ; 3,53 ; 4,52 ; 4,05 ; 2,58 ; 0,32 
Cliente 73; -   ; 0,00 ; 0,00 ; 0,00 ; -   ; -   ; -   ; 1,13 ; 2,75 ; 2,96 ; 2,05 ; 1,88 ; 1,45 ; 0,71 ; 1,03 ; 2,74 ; 3,07 ; 1,29 ; -   ; 0,35 ; 0,90 ; 0,98 ; 0,69 ; 0,13 
Cliente 74; 0,61 ; 0,55 ; 0,49 ; 0,44 ; 0,42 ; 0,41 ; 0,72 ; 1,21 ; 1,44 ; 1,20 ; 0,89 ; 1,09 ; 1,29 ; 1,19 ; 1,34 ; 1,53 ; 1,26 ; 1,24 ; 1,33 ; 1,28 ; 1,24 ; 1,27 ; 1,02 ; 0,55 
